ts,open,high,low,close,volume
2025-01-02T09:00:00Z,17000,17010,16990,17005,1000
2025-01-02T09:05:00Z,17005,17020,17000,17015,1100
2025-01-02T09:10:00Z,17015,17025,17005,17022,900
2025-01-02T09:15:00Z,17022,17035,17018,17030,1200
2025-01-02T09:20:00Z,17030,17040,17025,17038,950
2025-01-02T09:25:00Z,17038,17050,17030,17048,1300
2025-01-02T09:30:00Z,17048,17055,17040,17042,1400
2025-01-02T09:35:00Z,17042,17045,17030,17032,1000
2025-01-02T09:40:00Z,17032,17040,17020,17025,1050
2025-01-02T09:45:00Z,17025,17035,17022,17030,990
2025-01-02T09:50:00Z,17030,17042,17028,17040,1010
2025-01-02T09:55:00Z,17040,17060,17035,17058,1600
2025-01-02T10:00:00Z,17058,17070,17050,17065,1700
2025-01-02T10:05:00Z,17065,17080,17060,17078,1800
2025-01-02T10:10:00Z,17078,17090,17070,17085,1500
2025-01-02T10:15:00Z,17085,17095,17075,17090,1400
2025-01-02T10:20:00Z,17090,17100,17082,17098,1450
2025-01-02T10:25:00Z,17098,17110,17095,17105,1500
2025-01-02T10:30:00Z,17105,17120,17100,17118,1600
2025-01-02T10:35:00Z,17118,17125,17110,17115,1400
2025-01-02T10:40:00Z,17115,17122,17105,17110,1200
2025-01-02T10:45:00Z,17110,17118,17100,17105,1100
2025-01-02T10:50:00Z,17105,17112,17095,17100,1000
2025-01-02T10:55:00Z,17100,17105,17092,17102,980
2025-01-02T11:00:00Z,17102,17115,17100,17112,1030
